"Story","Title","Result","Date","Stability","Duration (s)"
"Set Supporter Level as Key Supporter and verify the details","Login to Salesforce URL and Set Supporter level as Key Supporter","SUCCESS","2019-06-24T11:19:39.01+05:30[Asia/Calcutta]","0.0","48.76"
"Salesforce login","User can login","ERROR","2019-05-22T10:05:56.9203416+10:00[Australia/Sydney]","0.0","10.88"
